"Time","Station 11","Station 12","Station 13","Station 14","Station 23"
2025-09-08 00:00:00,0 rpm,0 rpm,213 rpm,0 rpm,0 rpm
2025-09-08 00:01:00,0 rpm,0 rpm,139 rpm,0 rpm,0 rpm
2025-09-08 00:02:00,0 rpm,0 rpm,224 rpm,0 rpm,0 rpm
2025-09-08 00:03:00,0 rpm,0 rpm,197 rpm,0 rpm,0 rpm
2025-09-08 00:04:00,0 rpm,0 rpm,188 rpm,0 rpm,0 rpm
2025-09-08 00:05:00,0 rpm,0 rpm,234 rpm,0 rpm,0 rpm
2025-09-08 00:06:00,0 rpm,0 rpm,236 rpm,0 rpm,0 rpm
2025-09-08 00:07:00,0 rpm,0 rpm,221 rpm,0 rpm,0 rpm
2025-09-08 00:08:00,0 rpm,0 rpm,241 rpm,0 rpm,0 rpm
2025-09-08 00:09:00,0 rpm,0 rpm,215 rpm,0 rpm,0 rpm
2025-09-08 00:10:00,0 rpm,0 rpm,192 rpm,0 rpm,0 rpm
2025-09-08 00:11:00,0 rpm,0 rpm,177 rpm,0 rpm,0 rpm
2025-09-08 00:12:00,0 rpm,0 rpm,215 rpm,0 rpm,0 rpm
2025-09-08 00:13:00,0 rpm,0 rpm,206 rpm,0 rpm,0 rpm
2025-09-08 00:14:00,0 rpm,0 rpm,251 rpm,0 rpm,0 rpm
2025-09-08 00:15:00,0 rpm,0 rpm,216 rpm,0 rpm,0 rpm
2025-09-08 00:16:00,0 rpm,0 rpm,249 rpm,0 rpm,0 rpm
2025-09-08 00:17:00,0 rpm,0 rpm,290 rpm,0 rpm,0 rpm
2025-09-08 00:18:00,0 rpm,0 rpm,184 rpm,0 rpm,0 rpm
2025-09-08 00:19:00,0 rpm,0 rpm,233 rpm,0 rpm,0 rpm
2025-09-08 00:20:00,0 rpm,0 rpm,216 rpm,0 rpm,0 rpm
2025-09-08 00:21:00,0 rpm,0 rpm,210 rpm,0 rpm,0 rpm
2025-09-08 00:22:00,0 rpm,0 rpm,221 rpm,0 rpm,0 rpm
2025-09-08 00:23:00,0 rpm,0 rpm,130 rpm,0 rpm,0 rpm
2025-09-08 00:24:00,0 rpm,0 rpm,254 rpm,0 rpm,0 rpm
2025-09-08 00:25:00,0 rpm,0 rpm,267 rpm,0 rpm,0 rpm
2025-09-08 00:26:00,0 rpm,0 rpm,239 rpm,0 rpm,0 rpm
2025-09-08 00:27:00,0 rpm,0 rpm,221 rpm,0 rpm,0 rpm
2025-09-08 00:28:00,0 rpm,0 rpm,165 rpm,0 rpm,0 rpm
2025-09-08 00:29:00,0 rpm,0 rpm,221 rpm,0 rpm,0 rpm
2025-09-08 00:30:00,0 rpm,0 rpm,251 rpm,0 rpm,0 rpm
2025-09-08 00:31:00,0 rpm,0 rpm,226 rpm,0 rpm,0 rpm
2025-09-08 00:32:00,0 rpm,0 rpm,249 rpm,0 rpm,0 rpm
2025-09-08 00:33:00,0 rpm,0 rpm,223 rpm,0 rpm,0 rpm
2025-09-08 00:34:00,0 rpm,0 rpm,251 rpm,0 rpm,0 rpm
2025-09-08 00:35:00,0 rpm,0 rpm,219 rpm,0 rpm,0 rpm
2025-09-08 00:36:00,0 rpm,0 rpm,269 rpm,0 rpm,0 rpm
2025-09-08 00:37:00,0 rpm,0 rpm,251 rpm,0 rpm,0 rpm
2025-09-08 00:38:00,0 rpm,0 rpm,233 rpm,0 rpm,0 rpm
2025-09-08 00:39:00,0 rpm,0 rpm,199 rpm,0 rpm,0 rpm
2025-09-08 00:40:00,0 rpm,0 rpm,270 rpm,0 rpm,0 rpm
2025-09-08 00:41:00,0 rpm,0 rpm,228 rpm,0 rpm,0 rpm
2025-09-08 00:42:00,0 rpm,0 rpm,211 rpm,0 rpm,0 rpm
2025-09-08 00:43:00,0 rpm,0 rpm,147 rpm,0 rpm,113 rpm
2025-09-08 00:44:00,0 rpm,161 rpm,261 rpm,0 rpm,344 rpm
2025-09-08 00:45:00,0 rpm,393 rpm,264 rpm,0 rpm,364 rpm
2025-09-08 00:46:00,0 rpm,406 rpm,274 rpm,0 rpm,362 rpm
2025-09-08 00:47:00,0 rpm,406 rpm,319 rpm,0 rpm,336 rpm
2025-09-08 00:48:00,0 rpm,400 rpm,261 rpm,0 rpm,364 rpm
2025-09-08 00:49:00,0 rpm,395 rpm,274 rpm,0 rpm,338 rpm
2025-09-08 00:50:00,0 rpm,395 rpm,229 rpm,0 rpm,362 rpm
2025-09-08 00:51:00,0 rpm,398 rpm,261 rpm,0 rpm,346 rpm
2025-09-08 00:52:00,0 rpm,403 rpm,223 rpm,0 rpm,367 rpm
2025-09-08 00:53:00,0 rpm,398 rpm,254 rpm,0 rpm,337 rpm
2025-09-08 00:54:00,0 rpm,401 rpm,275 rpm,0 rpm,359 rpm
2025-09-08 00:55:00,0 rpm,410 rpm,185 rpm,0 rpm,344 rpm
2025-09-08 00:56:00,0 rpm,393 rpm,246 rpm,0 rpm,329 rpm
2025-09-08 00:57:00,0 rpm,398 rpm,236 rpm,0 rpm,158 rpm
2025-09-08 00:58:00,0 rpm,400 rpm,234 rpm,0 rpm,354 rpm
2025-09-08 00:59:00,0 rpm,398 rpm,272 rpm,0 rpm,306 rpm
2025-09-08 01:00:00,0 rpm,415 rpm,243 rpm,0 rpm,347 rpm
2025-09-08 01:01:00,0 rpm,413 rpm,267 rpm,0 rpm,323 rpm
2025-09-08 01:02:00,0 rpm,315 rpm,259 rpm,0 rpm,297 rpm
2025-09-08 01:03:00,0 rpm,400 rpm,221 rpm,0 rpm,338 rpm
2025-09-08 01:04:00,0 rpm,410 rpm,184 rpm,0 rpm,359 rpm
2025-09-08 01:05:00,0 rpm,403 rpm,233 rpm,0 rpm,351 rpm
2025-09-08 01:06:00,0 rpm,405 rpm,213 rpm,0 rpm,366 rpm
2025-09-08 01:07:00,0 rpm,395 rpm,197 rpm,0 rpm,362 rpm
2025-09-08 01:08:00,0 rpm,396 rpm,177 rpm,0 rpm,362 rpm
2025-09-08 01:09:00,0 rpm,398 rpm,205 rpm,0 rpm,359 rpm
2025-09-08 01:10:00,0 rpm,410 rpm,249 rpm,0 rpm,369 rpm
2025-09-08 01:11:00,0 rpm,398 rpm,259 rpm,0 rpm,362 rpm
2025-09-08 01:12:00,0 rpm,403 rpm,270 rpm,0 rpm,354 rpm
2025-09-08 01:13:00,0 rpm,408 rpm,221 rpm,0 rpm,362 rpm
2025-09-08 01:14:00,0 rpm,410 rpm,264 rpm,0 rpm,356 rpm
2025-09-08 01:15:00,0 rpm,410 rpm,279 rpm,0 rpm,342 rpm
2025-09-08 01:16:00,0 rpm,393 rpm,297 rpm,0 rpm,331 rpm
2025-09-08 01:17:00,0 rpm,393 rpm,297 rpm,0 rpm,341 rpm
2025-09-08 01:18:00,0 rpm,395 rpm,308 rpm,0 rpm,349 rpm
2025-09-08 01:19:00,0 rpm,408 rpm,241 rpm,0 rpm,351 rpm
2025-09-08 01:20:00,0 rpm,410 rpm,292 rpm,0 rpm,305 rpm
2025-09-08 01:21:00,0 rpm,401 rpm,338 rpm,0 rpm,359 rpm
2025-09-08 01:22:00,0 rpm,408 rpm,297 rpm,0 rpm,331 rpm
2025-09-08 01:23:00,0 rpm,401 rpm,252 rpm,0 rpm,361 rpm
