"Time","wind_speed","gust_speed"
2025-09-08 17:29:00,6.30 m/s,7.30 m/s
2025-09-08 17:28:00,6.40 m/s,7.40 m/s
2025-09-08 17:27:00,6.50 m/s,7.80 m/s
2025-09-08 17:26:00,6.40 m/s,7.20 m/s
2025-09-08 17:25:00,6.50 m/s,7.60 m/s
2025-09-08 17:24:00,6.40 m/s,7.60 m/s
2025-09-08 17:23:00,6.60 m/s,7.60 m/s
2025-09-08 17:22:00,6.50 m/s,7.40 m/s
2025-09-08 17:21:00,6.60 m/s,7.70 m/s
2025-09-08 17:20:00,6.60 m/s,7.70 m/s
2025-09-08 17:19:00,6.70 m/s,7.60 m/s
2025-09-08 17:18:00,6.50 m/s,7.70 m/s
2025-09-08 17:17:00,6.60 m/s,7.60 m/s
2025-09-08 17:16:00,6.40 m/s,7.40 m/s
2025-09-08 17:15:00,6.40 m/s,7.20 m/s
2025-09-08 17:14:00,6.30 m/s,7.30 m/s
2025-09-08 17:13:00,6.50 m/s,7.60 m/s
2025-09-08 17:12:00,6.40 m/s,7.60 m/s
2025-09-08 17:11:00,6.30 m/s,7.60 m/s
2025-09-08 17:10:00,6.10 m/s,6.80 m/s
2025-09-08 17:09:00,6.50 m/s,7.20 m/s
2025-09-08 17:08:00,6.40 m/s,7.10 m/s
2025-09-08 17:07:00,6.40 m/s,7 m/s
2025-09-08 17:06:00,6.50 m/s,7.50 m/s
2025-09-08 17:05:00,6.60 m/s,7.40 m/s
2025-09-08 17:04:00,6.60 m/s,7.80 m/s
2025-09-08 17:03:00,6.60 m/s,7.70 m/s
2025-09-08 17:02:00,6.60 m/s,7.60 m/s
2025-09-08 17:01:00,6.60 m/s,7.50 m/s
2025-09-08 17:00:00,6.40 m/s,7.40 m/s
2025-09-08 16:59:00,6.70 m/s,7.60 m/s
2025-09-08 16:58:00,6.60 m/s,7.50 m/s
2025-09-08 16:57:00,6.60 m/s,7.40 m/s
2025-09-08 16:56:00,6.60 m/s,7.80 m/s
2025-09-08 16:55:00,6.50 m/s,7.50 m/s
2025-09-08 16:54:00,6.60 m/s,7.50 m/s
2025-09-08 16:53:00,6.70 m/s,7.80 m/s
2025-09-08 16:52:00,6.70 m/s,7.50 m/s
2025-09-08 16:51:00,6.70 m/s,7.80 m/s
2025-09-08 16:50:00,6.50 m/s,7.60 m/s
2025-09-08 16:49:00,6.60 m/s,7.60 m/s
2025-09-08 16:48:00,6.60 m/s,7.60 m/s
2025-09-08 16:47:00,6.60 m/s,7.40 m/s
2025-09-08 16:46:00,6.70 m/s,7.40 m/s
2025-09-08 16:45:00,6.70 m/s,7.60 m/s
